filename,original_name,source,dir_name,file_size,width,height,query,source_url,filter_status,filter_reason,side_view_score,preselect_notes
car_side_view_white_background__000045.jpg,000045.jpg,raw,car_side_view_white_background,48897,1184,700,suv side view press release,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.69
sedan_side_profile_studio_shot__000004.jpg,000004.jpg,raw,sedan_side_profile_studio_shot,50109,800,603,sedan side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
sedan_side_profile_studio_shot__000009.jpg,000009.jpg,raw,sedan_side_profile_studio_shot,34042,800,603,suv side view press release,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33
sedan_side_profile_studio_shot__000033.jpg,000033.jpg,raw,sedan_side_profile_studio_shot,45380,800,603,sedan side view press release,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33
sedan_side_profile_studio_shot__000035.jpg,000035.jpg,raw,sedan_side_profile_studio_shot,37552,800,603,sedan side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
sedan_side_profile_studio_shot__000037.jpg,000037.jpg,raw,sedan_side_profile_studio_shot,43294,800,603,sedan side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
sedan_side_profile_studio_shot__000041.jpg,000041.jpg,raw,sedan_side_profile_studio_shot,48122,800,603,suv side view press release,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33
sedan_side_view__000001.jpg,000001.jpg,raw,sedan_side_view,103026,1600,1140,suv side view press release,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:1.40; ILLUST_uc128:1943
sedan_side_view__000002.jpg,000002.jpg,raw,sedan_side_view,55013,1300,758,sedan side view,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.72
sedan_side_view__000004.jpg,000004.jpg,raw,sedan_side_view,350282,1500,1000,sedan side profile studio shot,,passed,,0.6,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50; ILLUST_uc128:1680
sedan_side_view__000006.jpg,000006.jpg,raw,sedan_side_view,33994,800,450,suv side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.78; CROP_edge_touch
sedan_side_view__000007.jpg,000007.jpg,raw,sedan_side_view,37323,800,533,suv side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
sedan_side_view__000010.jpg,000010.jpg,raw,sedan_side_view,41063,800,533,suv side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50; CROP_edge_touch
sedan_side_view__000011.jpg,000011.jpg,raw,sedan_side_view,27345,800,500,sedan side view,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:1.60; ILLUST_uc128:864
sedan_side_view__000014.jpg,000014.jpg,raw,sedan_side_view,29957,800,560,sedan side view,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.43
sedan_side_view__000015.jpg,000015.jpg,raw,sedan_side_view,53356,1470,980,suv side view press release,,rejected,duplicate_of:sedan_side_profile_studio_shot__000009.jpg,,
sedan_side_view_brochure__000002.jpg,000002.jpg,raw,sedan_side_view_brochure,137975,1600,1221,sedan side view brochure,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.31; CROP_edge_touch
sedan_side_view_brochure__000007.jpg,000007.jpg,raw,sedan_side_view_brochure,39999,800,533,suv side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
sedan_side_view_brochure__000016.jpg,000016.jpg,raw,sedan_side_view_brochure,112635,1600,1176,sedan side view brochure,,passed,,0.25,query_has_side_view; dir_has_side_view; good_aspect:1.36; ILLUST_uc128:541; CROP_edge_touch
sedan_side_view_brochure__000018.jpg,000018.jpg,raw,sedan_side_view_brochure,112697,1600,1156,car side view showroom,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.38; CROP_edge_touch
sedan_side_view_configurator__000034.jpg,000034.jpg,raw,sedan_side_view_configurator,142963,1600,989,sedan side view configurator,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.62; CROP_edge_touch
sedan_side_view_configurator__000046.jpg,000046.jpg,raw,sedan_side_view_configurator,35641,800,457,sedan side view configurator,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.75; CROP_edge_touch
sedan_side_view_configurator__000058.jpg,000058.jpg,raw,sedan_side_view_configurator,33514,800,559,sedan side view configurator,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.43
sedan_side_view_press_release__000028.jpg,000028.jpg,raw,sedan_side_view_press_release,35647,800,450,sedan side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.78; CROP_edge_touch
sedan_side_view_press_release__000032.jpg,000032.jpg,raw,sedan_side_view_press_release,298644,4005,1960,sedan side view press release,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:2.04
sedan_side_view_press_release__000033.jpg,000033.jpg,raw,sedan_side_view_press_release,25977,800,449,sedan side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.78; CROP_edge_touch
sedan_side_view_press_release__000039.jpg,000039.jpg,raw,sedan_side_view_press_release,35371,800,603,sedan side view press release,,rejected,duplicate_of:sedan_side_view__000014.jpg,,
sedan_side_view_street__000007.jpg,000007.jpg,raw,sedan_side_view_street,234199,1600,1157,suv side view press release,,passed,,0.5,query_has_side_view; dir_has_side_view; street_scene; good_aspect:1.38; CROP_edge_touch
sedan_side_view_street__000008.jpg,000008.jpg,raw,sedan_side_view_street,74172,800,533,suv side view configurator,,passed,,0.5,query_has_side_view; dir_has_side_view; street_scene; good_aspect:1.50; CROP_edge_touch
sedan_side_view_street__000010.jpg,000010.jpg,raw,sedan_side_view_street,142963,1600,989,suv side profile studio shot,,rejected,duplicate_of:sedan_side_view_configurator__000034.jpg,,
sedan_side_view_white_background__000003.jpg,000003.jpg,raw,sedan_side_view_white_background,25693,800,440,sedan side view white background,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.82
sedan_side_view_white_background__000005.jpg,000005.jpg,raw,sedan_side_view_white_background,34313,800,384,toyota camry side view,,passed,,0.75,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:2.08; CROP_edge_touch
sedan_side_view_white_background__000009.jpg,000009.jpg,raw,sedan_side_view_white_background,295873,3966,1960,suv side view press release,,rejected,duplicate_of:car_side_view__000007.jpg,,
sedan_side_view_white_background__000013.jpg,000013.jpg,raw,sedan_side_view_white_background,75170,1600,913,sedan side view white background,,rejected,duplicate_of:sedan_side_view__000002.jpg,,
sedan_side_view_white_background__000023.jpg,000023.jpg,raw,sedan_side_view_white_background,35495,800,603,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
sedan_side_view_white_background__000026.jpg,000026.jpg,raw,sedan_side_view_white_background,24031,800,462,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.73
sedan_side_view_white_background__000029.jpg,000029.jpg,raw,sedan_side_view_white_background,27140,800,320,suv side profile studio shot,,passed,,0.7,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:2.50; ILLUST_uc128:1925
sedan_side_view_white_background__000030.jpg,000030.jpg,raw,sedan_side_view_white_background,115680,1000,444,sedan side view white background,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:2.25
sedan_side_view_white_background__000040.jpg,000040.jpg,raw,sedan_side_view_white_background,30188,800,532,sedan side view white background,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.50
sedan_side_view_white_background__000044.jpg,000044.jpg,raw,sedan_side_view_white_background,29197,800,570,suv side view configurator,,rejected,duplicate_of:car_side_view__000005.jpg,,
side_profile_car_review__000004.jpg,000004.jpg,raw,side_profile_car_review,60036,1050,700,sedan side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50; CROP_edge_touch
side_profile_car_review__000005.jpg,000005.jpg,raw,side_profile_car_review,65953,1050,700,toyota camry side view,,passed,,0.55,query_has_side_view; dir_has_side_view; good_aspect:1.50; GRAYSCALE_uc128:256; CROP_edge_touch
side_profile_car_review__000006.jpg,000006.jpg,raw,side_profile_car_review,36511,1245,700,suv side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.78; CROP_edge_touch
side_profile_car_review__000007.jpg,000007.jpg,raw,side_profile_car_review,125463,1249,700,suv side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.78; CROP_edge_touch
side_profile_car_review__000008.jpg,000008.jpg,raw,side_profile_car_review,61763,1244,700,suv side view configurator,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.78
side_profile_car_review__000010.jpg,000010.jpg,raw,side_profile_car_review,61141,1244,700,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.78
side_profile_car_review__000012.jpg,000012.jpg,raw,side_profile_car_review,61846,1470,700,car side profile isolated,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:2.10
side_profile_car_review__000013.jpg,000013.jpg,raw,side_profile_car_review,37673,1050,700,sedan side view white background,,passed,,0.45,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50; STREET_bg:49_dr:0.88; CROP_edge_touch
side_profile_car_review__000014.jpg,000014.jpg,raw,side_profile_car_review,61835,1430,700,side profile car review,,rejected,duplicate_of:sedan_side_view_press_release__000032.jpg,,
side_profile_car_review__000017.jpg,000017.jpg,raw,side_profile_car_review,60775,1225,700,car side view white background,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.75; CROP_edge_touch
side_profile_car_review__000020.jpg,000020.jpg,raw,side_profile_car_review,102569,1050,700,suv side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50; CROP_edge_touch
side_view_car_review__000004.jpg,000004.jpg,raw,side_view_car_review,43718,800,449,sedan side profile studio shot,,passed,,0.45,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.78; STREET_bg:71_dr:0.52; CROP_edge_touch
side_view_car_review__000007.jpg,000007.jpg,raw,side_view_car_review,1744993,1500,1101,suv side view press release,,passed,,0.35,query_has_side_view; dir_has_side_view; good_aspect:1.36; STREET_bg:53_dr:0.97; CROP_edge_touch
side_view_car_review__000008.jpg,000008.jpg,raw,side_view_car_review,89246,1344,768,suv side view configurator,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.75; CROP_edge_touch
side_view_car_review__000014.jpg,000014.jpg,raw,side_view_car_review,58544,800,450,side view car review,,passed,,0.35,query_has_side_view; dir_has_side_view; good_aspect:1.78; STREET_bg:77_dr:0.72; CROP_edge_touch
side_view_car_review__000016.jpg,000016.jpg,raw,side_view_car_review,78208,858,500,side view car review,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.72
side_view_car_review__000017.jpg,000017.jpg,raw,side_view_car_review,56522,1307,980,car side view white background,,passed,,0.6,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.33; ILLUST_uc128:1976
side_view_car_review__000019.jpg,000019.jpg,raw,side_view_car_review,56071,1200,700,side view car review,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:1.71; ILLUST_uc128:1840
suv_side_profile_studio_shot__000005.jpg,000005.jpg,raw,suv_side_profile_studio_shot,36746,800,603,toyota camry side view,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33
suv_side_profile_studio_shot__000006.jpg,000006.jpg,raw,suv_side_profile_studio_shot,31636,800,603,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
suv_side_profile_studio_shot__000008.jpg,000008.jpg,raw,suv_side_profile_studio_shot,31485,800,603,suv side view configurator,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33
suv_side_profile_studio_shot__000010.jpg,000010.jpg,raw,suv_side_profile_studio_shot,37479,800,603,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
suv_side_profile_studio_shot__000015.jpg,000015.jpg,raw,suv_side_profile_studio_shot,34041,800,603,suv side view press release,,rejected,duplicate_of:sedan_side_view__000011.jpg,,
suv_side_profile_studio_shot__000018.jpg,000018.jpg,raw,suv_side_profile_studio_shot,32449,800,603,car side view showroom,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33
suv_side_profile_studio_shot__000020.jpg,000020.jpg,raw,suv_side_profile_studio_shot,110866,1600,1157,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.38
suv_side_profile_studio_shot__000023.jpg,000023.jpg,raw,suv_side_profile_studio_shot,41567,800,603,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
suv_side_profile_studio_shot__000025.jpg,000025.jpg,raw,suv_side_profile_studio_shot,37665,800,383,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:2.09
suv_side_profile_studio_shot__000026.jpg,000026.jpg,raw,suv_side_profile_studio_shot,39139,800,603,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
suv_side_profile_studio_shot__000029.jpg,000029.jpg,raw,suv_side_profile_studio_shot,49670,800,603,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33
suv_side_view__000001.jpg,000001.jpg,raw,suv_side_view,32781,766,360,suv side view press release,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:2.13; ILLUST_uc128:326
suv_side_view__000004.jpg,000004.jpg,raw,suv_side_view,55104,1300,814,sedan side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.60
suv_side_view__000006.jpg,000006.jpg,raw,suv_side_view,133614,1000,667,suv side profile studio shot,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50
suv_side_view__000008.jpg,000008.jpg,raw,suv_side_view,289924,3453,1960,suv side view configurator,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.76
suv_side_view__000009.jpg,000009.jpg,raw,suv_side_view,178964,1600,1119,suv side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.43; CROP_edge_touch
suv_side_view__000011.jpg,000011.jpg,raw,suv_side_view,165274,2613,1960,suv side view,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.33
suv_side_view__000012.jpg,000012.jpg,raw,suv_side_view,190515,2613,1960,car side profile isolated,,passed,,0.6,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.33; ILLUST_uc128:871
suv_side_view__000013.jpg,000013.jpg,raw,suv_side_view,33703,800,601,sedan side view white background,,passed,,0.25,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.33; ILLUST_uc128:1342; VERY_DARK_bg:0
suv_side_view__000020.jpg,000020.jpg,raw,suv_side_view,261369,1920,1280,suv side profile studio shot,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.50; CROP_edge_touch
suv_side_view_brochure__000005.jpg,000005.jpg,raw,suv_side_view_brochure,28387,993,500,toyota camry side view,,passed,,0.5,query_has_side_view; dir_has_side_view; good_aspect:1.99; ILLUST_uc128:1037
suv_side_view_brochure__000013.jpg,000013.jpg,raw,suv_side_view_brochure,54204,800,528,sedan side view white background,,passed,,0.75,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.52; CROP_edge_touch
suv_side_view_configurator__000008.jpg,000008.jpg,raw,suv_side_view_configurator,320097,3453,1960,suv side view configurator,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.76
suv_side_view_configurator__000044.jpg,000044.jpg,raw,suv_side_view_configurator,50113,800,533,suv side view configurator,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
suv_side_view_press_release__000001.jpg,000001.jpg,raw,suv_side_view_press_release,111457,1804,980,suv side view press release,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.84
suv_side_view_press_release__000007.jpg,000007.jpg,raw,suv_side_view_press_release,133614,1000,667,suv side view press release,,rejected,duplicate_of:suv_side_view__000006.jpg,,
suv_side_view_press_release__000009.jpg,000009.jpg,raw,suv_side_view_press_release,269227,3453,1960,suv side view press release,,rejected,duplicate_of:suv_side_view__000008.jpg,,
suv_side_view_press_release__000015.jpg,000015.jpg,raw,suv_side_view_press_release,39064,1038,400,suv side view press release,,passed,,0.45,query_has_side_view; dir_has_side_view; CROP_pano_edge
suv_side_view_press_release__000022.jpg,000022.jpg,raw,suv_side_view_press_release,101634,1600,1157,suv side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.38; CROP_edge_touch
suv_side_view_press_release__000041.jpg,000041.jpg,raw,suv_side_view_press_release,47233,800,533,suv side view press release,,passed,,0.65,query_has_side_view; dir_has_side_view; good_aspect:1.50; CROP_edge_touch
suv_side_view_press_release__000045.jpg,000045.jpg,raw,suv_side_view_press_release,27610,800,600,suv side view press release,,rejected,duplicate_of:suv_side_view__000011.jpg,,
suv_side_view_press_release__000046.jpg,000046.jpg,raw,suv_side_view_press_release,41405,1280,720,sedan side view configurator,,passed,,0.9,query_has_side_view; dir_has_side_view; good_aspect:1.78
suv_side_view_street__000001.jpg,000001.jpg,raw,suv_side_view_street,310485,3607,1960,suv side view press release,,rejected,duplicate_of:suv_side_view_press_release__000001.jpg,,
suv_side_view_street__000013.jpg,000013.jpg,raw,suv_side_view_street,153247,1600,1157,sedan side view white background,,passed,,0.6,query_has_side_view; dir_has_side_view; street_scene; studio_indicator; good_aspect:1.38; CROP_edge_touch
suv_side_view_street__000014.jpg,000014.jpg,raw,suv_side_view_street,226308,1600,987,suv side view street,,passed,,0.5,query_has_side_view; dir_has_side_view; street_scene; good_aspect:1.62; CROP_edge_touch
suv_side_view_street__000017.jpg,000017.jpg,raw,suv_side_view_street,138289,1600,1151,car side view white background,,passed,,0.6,query_has_side_view; dir_has_side_view; street_scene; studio_indicator; good_aspect:1.39; CROP_edge_touch
suv_side_view_street__000019.jpg,000019.jpg,raw,suv_side_view_street,176780,1600,1157,suv side view street,,passed,,0.5,query_has_side_view; dir_has_side_view; street_scene; good_aspect:1.38; CROP_edge_touch
suv_side_view_white_background__000001.jpg,000001.jpg,raw,suv_side_view_white_background,34640,800,449,suv side view press release,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.78
suv_side_view_white_background__000007.jpg,000007.jpg,raw,suv_side_view_white_background,28251,800,502,suv side view press release,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.59
suv_side_view_white_background__000018.jpg,000018.jpg,raw,suv_side_view_white_background,30117,800,600,car side view showroom,,passed,,1.0,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33
suv_side_view_white_background__000021.jpg,000021.jpg,raw,suv_side_view_white_background,28006,736,405,car side profile isolated,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.82
suv_side_view_white_background__000033.jpg,000033.jpg,raw,suv_side_view_white_background,26448,800,464,sedan side view press release,,rejected,duplicate_of:car_side_profile__000010.jpg,,
suv_side_view_white_background__000038.jpg,000038.jpg,raw,suv_side_view_white_background,23956,800,464,suv side view white background,,passed,,1.0,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.72
